"Year","Player Name","Position","Team","Innings Pitched (IP)","Hits Allowed (H)","Earned Runs (ER)","Walks Issued (BB)","Strikeouts (K)","Saves (SV)","Blown Saves (BS)","Holds (HD)","Fantasy Points (FPTS)"
"2025","Zack Littell","SP","Cincinnati Reds",186.666666666667,174,79,32,130,0,0,0,527
"2024","Nestor Cortes","SP","New York Yankees",174.333333333333,162,73,39,162,0,0,0,526.5
"2024","Kevin Gausman","SP","Toronto Blue Jays",181,165,77,56,162,0,0,0,524.5
"2024","Reynaldo Lopez","SP","Atlanta Braves",135.666666666667,108,30,42,148,0,0,1,523.5
"2025","Nick Lodolo","SP","Cincinnati Reds",156.666666666667,138,58,31,156,0,0,0,518
"2024","Luis Severino","SP","New York Mets",182,166,79,60,161,0,0,0,517
"2023","Justin Verlander","SP","Houston Astros",162.333333333333,139,58,45,144,0,0,0,516.5
"2025","Drew Rasmussen","SP","Tampa Bay Rays",150,116,46,37,127,0,0,0,511
"2025","Ryan Pepiot","SP","Tampa Bay Rays",167.666666666667,134,72,61,167,0,0,0,510.5
"2024","Michael Wacha","SP","Kansas City Royals",166.666666666667,154,62,45,145,0,0,0,510
"2023","Yusei Kikuchi","SP","Toronto Blue Jays",167.666666666667,165,72,48,181,0,0,0,506.5
"2023","Sandy Alcantara","SP","Miami Marlins",184.666666666667,176,85,48,151,0,0,0,503
"2024","Jameson Taillon","SP","Chicago Cubs",165.333333333333,154,60,33,125,0,0,0,502
"2023","Dane Dunning","SP","Texas Rangers",172.666666666667,163,71,55,140,0,0,3,501
"2025","Tanner Bibee","SP","Cleveland Guardians",182.333333333333,170,86,54,162,0,0,0,500.5
"2024","Jake Irvin","SP","Washington Nationals",187.666666666667,173,92,52,156,0,0,0,499.5
"2025","Ranger Suarez","SP","Philadelphia Phillies",157.333333333333,154,56,38,151,0,0,0,499
"2023","Max Scherzer","SP","Texas Rangers",152.666666666667,126,64,45,174,0,0,0,498
"2023","Braxton Garrett","SP","Miami Marlins",159.666666666667,154,65,29,156,0,0,0,496.5
"2024","Luis Gil","SP","New York Yankees",151.666666666667,104,59,77,171,0,0,0,495.5
"2025","Ryne Nelson","SP","Arizona Diamondbacks",154,124,58,41,132,1,1,1,494
"2025","Dylan Cease","SP","San Diego Padres",168,152,85,71,215,0,0,0,493
"2023","Joe Ryan","SP","Minnesota Twins",161.666666666667,155,81,34,197,0,0,0,492.5
"2024","Brandon Pfaadt","SP","Arizona Diamondbacks",181.666666666667,183,95,42,185,0,0,0,492.5
"2023","Lucas Giolito","SP","Cleveland Guardians",184.333333333333,169,100,73,204,0,0,0,491.5
"2024","Zach Eflin","SP","Baltimore Orioles",165.333333333333,166,66,24,134,0,0,0,490
"2024","Tyler Anderson","SP","Los Angeles Angels",179.333333333333,158,76,73,142,0,0,0,490
"2023","Dylan Cease","SP","Chicago White Sox",177,172,90,79,214,0,0,0,489.5
"2025","Chris Sale","SP","Atlanta Braves",125.666666666667,102,36,32,165,0,0,0,488.5
"2025","Brady Singer","SP","Cincinnati Reds",169.666666666667,150,76,60,163,0,0,0,488.5
"2024","Tyler Glasnow","SP","Los Angeles Dodgers",134,92,52,35,168,0,0,0,488
"2025","Zac Gallen","SP","Arizona Diamondbacks",192,176,103,66,175,0,0,0,488
"2023","Charlie Morton","SP","Atlanta Braves",163.333333333333,150,66,83,183,0,0,0,487
"2023","Eduardo Rodriguez","SP","Detroit Tigers",152.666666666667,128,56,48,143,0,0,0,486
"2025","Yusei Kikuchi","SP","Los Angeles Angels",178.333333333333,180,79,74,174,0,0,0,485.5
"2023","Shohei Ohtani","SP","Los Angeles Angels",132,85,46,55,167,0,0,0,483
"2024","Mitch Keller","SP","Pittsburgh Pirates",178,182,84,50,166,0,0,0,483
"2025","Brayan Bello","SP","Boston Red Sox",166.666666666667,147,62,59,124,0,0,0,482
"2023","Clayton Kershaw","SP","Los Angeles Dodgers",131.666666666667,100,36,40,137,0,0,0,481.5
"2025","Chris Bassitt","SP","Toronto Blue Jays",170.333333333333,174,75,52,166,0,0,0,481.5
"2024","MacKenzie Gore","SP","Washington Nationals",166.333333333333,171,72,65,181,0,0,0,477.5
"2025","Logan Gilbert","SP","Seattle Mariners",131,104,50,31,173,0,0,0,477.5
"2023","Bailey Ober","SP","Minnesota Twins",144.333333333333,125,55,29,146,0,0,0,476.5
"2024","Jose Quintana","SP","New York Mets",170.333333333333,150,71,63,135,0,0,0,475.5
"2025","Mitch Keller","SP","Pittsburgh Pirates",176.333333333333,171,82,51,150,0,0,0,475.5
"2023","Tanner Bibee","SP","Cleveland Guardians",142,122,47,45,141,0,0,0,472
"2023","Dean Kremer","SP","Baltimore Orioles",172.666666666667,171,79,55,157,0,0,0,471
"2025","Quinn Priester","SP","Milwaukee Brewers",157.333333333333,145,58,50,132,0,0,0,471
"2025","Michael Wacha","SP","Kansas City Royals",172.666666666667,166,74,45,126,0,0,0,470
"2023","Bryce Elder","SP","Atlanta Braves",174.666666666667,160,74,63,128,0,0,0,469
"2024","Ranger Suarez","SP","Philadelphia Phillies",150.666666666667,140,58,41,145,0,0,0,468
"2025","Jeffrey Springs","SP","Athletics",171,153,78,54,138,0,0,0,466.5
"2025","Dean Kremer","SP","Baltimore Orioles",171.666666666667,163,80,45,142,0,0,0,466.5
"2025","MacKenzie Gore","SP","Washington Nationals",159.666666666667,152,74,64,185,0,0,0,465.5
"2023","Kyle Gibson","SP","Baltimore Orioles",192,198,101,55,157,0,0,0,465
"2024","JP Sears","SP","Athletics",180.666666666667,172,88,49,137,0,0,0,465
"2025","Clay Holmes","SP","New York Mets",165.666666666667,150,65,66,129,0,0,0,463.5
"2024","Nick Pivetta","SP","Boston Red Sox",145.666666666667,128,67,36,172,0,0,0,462.5
"2024","Charlie Morton","SP","Atlanta Braves",165.333333333333,154,77,65,167,0,0,0,461
"2024","Zack Littell","SP","Tampa Bay Rays",156.333333333333,164,63,31,141,0,0,0,460.5
"2024","Joe Ryan","SP","Minnesota Twins",135,110,54,23,147,0,0,0,459.5
"2023","Johan Oviedo","SP","Pittsburgh Pirates",177.666666666667,161,85,83,158,0,0,0,458.5
"2023","JP Sears","SP","Athletics",172.333333333333,165,87,53,161,0,0,0,457.5
"2025","Jack Flaherty","SP","Detroit Tigers",161,147,83,59,188,0,0,0,457.5
"2023","Miles Mikolas","SP","St. Louis Cardinals",201.333333333333,226,107,39,137,0,0,0,457
"2024","Justin Steele","SP","Chicago Cubs",134.666666666667,111,46,37,135,0,0,0,455
"2024","Zac Gallen","SP","Arizona Diamondbacks",148,133,60,54,156,0,0,0,455
"2024","Andrew Heaney","SP","Texas Rangers",160,159,76,41,159,0,0,0,451
"2024","Chris Bassitt","SP","Toronto Blue Jays",171,180,79,70,168,0,0,0,450.5
"2023","Seth Lugo","SP","San Diego Padres",146.333333333333,140,58,36,140,0,0,0,448.5
"2024","Colin Rea","SP","Milwaukee Brewers",167.666666666667,169,80,43,135,1,0,1,448.5
"2024","Tobias Myers","SP","Milwaukee Brewers",138,126,46,36,127,0,0,0,448
"2025","Noah Cameron","SP","Kansas City Royals",138.333333333333,109,46,43,114,0,0,0,446.5
"2024","Kyle Gibson","SP","St. Louis Cardinals",169.666666666667,161,80,68,151,0,0,0,445.5
"2025","Shota Imanaga","SP","Chicago Cubs",144.666666666667,117,60,26,117,0,0,0,445
"2025","Shane Smith","SP","Chicago White Sox",146.333333333333,117,62,58,145,0,0,0,442.5
"2023","Nathan Eovaldi","SP","Texas Rangers",144,117,58,47,132,0,0,0,442
"2025","Jack Leiter","SP","Texas Rangers",151.666666666667,127,65,67,148,0,0,0,441.5
"2025","Colin Rea","SP","Chicago Cubs",159.333333333333,155,70,44,127,1,0,0,441
"2025","David Peterson","SP","New York Mets",168.666666666667,166,79,65,150,0,0,0,441
"2025","Nick Martinez","SP","Cincinnati Reds",165.666666666667,158,82,42,116,0,0,5,440.5
"2025","Edward Cabrera","SP","Miami Marlins",137.666666666667,121,54,48,150,0,0,0,438.5
"2025","Will Warren","SP","New York Yankees",162.333333333333,158,80,65,171,0,0,0,438.5
"2025","Jose Berrios","SP","Toronto Blue Jays",166,160,77,56,138,0,0,0,438
"2023","Taijuan Walker","SP","Philadelphia Phillies",172.666666666667,155,84,71,138,0,0,0,437
"2023","Cristian Javier","SP","Houston Astros",162,143,82,62,159,0,0,0,437
"2025","Jose Soriano","SP","Los Angeles Angels",169,158,80,78,152,0,0,0,436.5
"2025","Shane Baz","SP","Tampa Bay Rays",166.333333333333,158,90,64,176,0,0,0,432.5
"2025","Trevor Rogers","SP","Baltimore Orioles",109.666666666667,70,22,29,103,0,0,0,431.5
"2023","Tyler Glasnow","SP","Tampa Bay Rays",120,93,47,37,162,0,0,0,431
"2023","Jon Gray","SP","Texas Rangers",157.333333333333,149,72,54,142,0,0,0,431
"2024","Aaron Civale","SP","Milwaukee Brewers",161,158,78,52,149,0,0,0,429.5
"2023","Michael Wacha","SP","San Diego Padres",134.333333333333,113,48,43,124,0,0,0,428.5
"2025","Casey Mize","SP","Detroit Tigers",149,153,64,36,139,0,0,0,428.5
"2025","Lucas Giolito","SP","Boston Red Sox",145,131,55,56,121,0,0,0,421.5
"2024","Bryan Woo","SP","Seattle Mariners",121.333333333333,96,39,13,101,0,0,0,421
"2024","Ryan Pepiot","SP","Tampa Bay Rays",130,102,52,48,142,0,0,0,421
"2023","Josiah Gray","SP","Washington Nationals",159,152,69,80,143,0,0,0,419.5
"2024","Brayan Bello","SP","Boston Red Sox",162.333333333333,157,81,64,153,0,0,0,419.5
"2025","Justin Verlander","SP","San Francisco Giants",152,155,65,52,137,0,0,0,419
"2024","Ben Lively","SP","Cleveland Guardians",151,139,64,49,118,0,0,0,417.5
"2023","Alex Cobb","SP","San Francisco Giants",151.333333333333,163,65,37,131,0,0,0,417
"2024","Taj Bradley","SP","Tampa Bay Rays",138,122,63,47,154,0,0,0,417
"2024","Spencer Schwellenbach","SP","Atlanta Braves",123.666666666667,106,46,23,127,0,0,0,416.5
"2025","Hunter Greene","SP","Cincinnati Reds",107.666666666667,75,33,26,132,0,0,0,416.5
"2023","Andrew Heaney","SP","Texas Rangers",147.333333333333,143,68,60,151,0,1,2,414
