Player Name,Team,Position,ADP
Gabe Speier,Seattle Mariners,RP,658.0
Max Scherzer,Toronto Blue Jays,SP,646.0
Dean Kremer,Baltimore Orioles,SP,403.0
Payton Tolle,Boston Red Sox,SP,403.5
Victor Vodnik,Colorado Rockies,RP,406.0
Matt Brash,Seattle Mariners,RP,558.0
Shawn Armstrong,Cleveland Guardians,RP,783.0
Landen Roupp,San Francisco Giants,SP,409.0
Louis Varland,Toronto Blue Jays,RP,766.0
Hunter Strickland,Los Angeles Angels,RP,425.0
Fernando Cruz,New York Yankees,RP,810.5
Rhett Lowder,Cincinnati Reds,SP,614.0
Bryan King,Houston Astros,RP,661.5
Mitch Spence,Kansas City Royals,SP,485.5
Lucas Erceg,Kansas City Royals,RP,653.5
Michael McGreevy,St. Louis Cardinals,SP,626.67
Bennett Sousa,Houston Astros,RP,557.5
Jose Alvarado,Philadelphia Phillies,RP,824.5
Ronny Henriquez,Miami Marlins,RP,441.0
Joe Boyle,Tampa Bay Rays,SP,441.5
Eduardo Rodriguez,Arizona Diamondbacks,SP,663.67
Clayton Kershaw,Free Agent,SP,455.5
Brooks Raley,New York Mets,RP,592.5
Andrew Kittredge,Baltimore Orioles,RP,659.0
Cionel Perez,Washington Nationals,RP,537.0
Tyler Wells,Baltimore Orioles,SP,626.0
Chad Green,Free Agent,RP,499.5
Ben Brown,Chicago Cubs,SP,758.5
Adrian Houser,San Francisco Giants,SP,691.5
Jose Leclerc,Free Agent,RP,471.5
Sean Burke,Chicago White Sox,SP,735.0
Brandon Sproat,Milwaukee Brewers,SP,653.0
Alexis Diaz,Texas Rangers,RP,763.5
Gregory Soto,Pittsburgh Pirates,RP,836.0
JP Sears,San Diego Padres,SP,827.0
Jack Dreyer,Los Angeles Dodgers,SP,680.0
Foster Griffin,Washington Nationals,RP,780.5
Bryce Elder,Atlanta Braves,SP,864.0
Hoby Milner,Chicago Cubs,RP,487.5
Ben Joyce,Los Angeles Angels,RP,755.5
Colin Rea,Chicago Cubs,SP,798.5
Kyle Freeland,Colorado Rockies,SP,724.5
Felix Bautista,Baltimore Orioles,RP,667.5
Jose A. Ferrer,Seattle Mariners,RP,653.5
Evan Phillips,Los Angeles Dodgers,RP,596.0
Bobby Miller,Los Angeles Dodgers,SP,738.5
