Player Name,Team,Innings Pitched (IP),Hits Allowed (H),Earned Runs (ER),Walks Issued (BB),Strikeouts (K),Saves (SV),Blown Saves (BS),Holds (HD)
Edwin Díaz,LAD,65,47,22,22,89,36,5,2
Aaron Civale,ATH,121.1,119,63,39,105,0,0,0
Bryan Abreu,HOU,67.1,51,23,28,90,11,4,20
Davis Martin,CHW,151,152,77,53,117,0,0,0
Logan Allen,CLE,117.2,119,59,45,95,0,0,0
Jose Quintana,COL,127.1,140,72,49,89,0,0,0
Johan Oviedo,BOS,94.2,84,45,41,90,0,0,1
Aroldis Chapman,BOS,55.2,40,19,24,77,28,4,2
Jacob Latz,TEX,101.1,90,47,47,95,0,1,2
Anthony Kay,CHW,122,120,60,48,99,0,1,0
Lucas Giolito,,112.1,109,57,44,101,0,0,0
Michael Lorenzen,COL,141.1,152,81,51,112,0,0,0
Devin Williams,NYM,64.2,47,23,27,84,31,4,3
Patrick Sandoval,BOS,76,73,35,33,72,0,0,1
Jeremiah Estrada,SDP,66.2,51,25,26,88,3,2,22
Miles Mikolas,WSN,142.1,154,77,33,94,0,0,0
Connelly Early,BOS,47.2,42,20,18,49,0,0,1
Brad Lord,WSN,98.2,97,47,33,79,1,0,1
Abner Uribe,MIL,66.2,52,24,29,78,17,3,16
Hunter Dobbins,STL,84,84,41,27,63,0,1,1
Bryce Elder,ATL,115.2,120,60,40,95,0,0,1
Luis Morales,ATH,113,106,57,45,100,0,0,0
Michael Soroka,ARI,95.1,85,45,35,96,1,0,2
Garrett Whitlock,BOS,64,56,24,18,71,5,2,19
Max Scherzer,TOR,79.1,76,40,21,77,0,0,0
Kyle Leahy,STL,113.2,113,56,42,93,0,3,2
Ryan Feltner,COL,100,106,57,41,82,0,0,0
Carmen Mlodzinski,PIT,74.1,70,31,25,67,0,2,3
Andrés Muñoz,SEA,62.2,46,20,25,78,34,5,2
Brandon Sproat,MIL,74,69,35,28,63,0,0,1
J.T. Ginn,ATH,73.2,70,35,26,69,0,0,1
David Bednar,NYY,60.2,49,23,20,72,32,4,2
Andrew Painter,PHI,98.1,98,51,36,83,0,0,1
Will Vest,DET,64.2,57,24,20,66,8,4,15
Hunter Harvey,CHC,52.1,45,19,15,56,4,3,16
Adrian Morejon,SDP,65,57,25,20,65,3,2,16
Luis Gil,NYY,97.1,82,46,47,97,0,0,0
Randy Vásquez,SDP,128.2,133,69,46,89,0,0,0
Orion Kerkering,PHI,63,54,25,23,67,2,4,16
Sean Burke,CHW,142.2,137,76,62,134,0,0,0
David Festa,MIN,52,48,24,18,53,1,0,1
Matt Strahm,KCR,63,53,25,19,68,3,3,19
Kyle Harrison,MIL,75.2,69,36,30,76,0,0,2
Robert Gasser,MIL,70,65,31,23,64,0,0,2
Janson Junk,MIA,80,85,41,18,59,0,0,1
Joe Boyle,TBR,75,61,35,40,82,0,0,1
Mick Abel,MIN,114.2,110,60,52,103,0,3,0
Matt Brash,SEA,60.2,50,21,24,72,4,2,19
José Alvarado,PHI,57,49,22,21,64,4,3,13
Trevor Megill,MIL,62.2,51,24,22,75,19,6,8
Lance McCullers Jr.,HOU,85.1,79,44,43,82,0,0,0
Ben Brown,CHC,53.2,47,22,17,60,0,0,1
Drew Anderson,DET,69,60,30,29,79,0,0,4
Cody Bradford,TEX,62.2,60,30,15,55,0,0,1
Patrick Corbin,,92.1,99,50,31,74,0,0,0
Pete Fairbanks,MIA,60,52,24,21,62,26,5,3
Richard Fitts,STL,109.2,109,54,36,86,0,0,1
Jose A. Ferrer,SEA,65.1,59,25,18,61,3,4,19
Ryan Walker,SFG,61.2,56,24,19,64,23,4,5
Gabe Speier,SEA,58,46,22,16,69,1,3,19
Josh Hader,HOU,49.1,35,18,18,66,24,3,2
Aaron Ashby,MIL,75.1,67,30,34,77,1,1,12
Chris Martin,TEX,51.2,48,20,11,51,7,3,13
Robert Suarez,ATL,66,57,26,20,69,11,5,14
Chase Dollander,COL,118.2,123,72,53,101,0,0,0
Griffin Canning,SDP,99.1,96,49,38,87,0,0,1
Garrett Cleavinger,TBR,61.2,48,23,22,75,7,4,20
Ryan Weiss,HOU,76.1,71,37,30,74,0,0,1
Jeff Hoffman,TOR,62,50,25,22,74,26,4,3
Ryan Helsley,BAL,62.2,53,25,23,70,29,7,1
