Player Name,Team,Hits (H),Runs Scored (R),Total Bases (TB),Runs Batted In (RBI),Walks (BB),Intentional Walks (IBB),Strikeouts (K),Stolen Bases (SB)
Lourdes Gurriel Jr.,ARI,84,40,132,43,20,0,54,5
Mauricio Dubón,ATL,90,39,124,36,18,0,49,3
Javier Sanoja,MIA,56,25,80,22,12,1,21,7
Jasson Domínguez,NYY,50,31,87,24,22,1,60,10
Ramón Urías,STL,62,30,101,31,20,0,62,2
Connor Wong,BOS,46,23,73,22,14,0,55,4
Kyle Karros,COL,60,27,85,27,20,1,58,2
Jake McCarthy,COL,87,46,124,31,23,0,63,17
Samuel Basallo,BAL,91,47,156,51,31,2,100,3
Blaze Alexander,BAL,64,38,104,29,26,0,105,7
Braxton Fulford,COL,46,24,76,24,14,0,58,3
Carson Benge,NYM,79,40,126,37,30,2,79,7
Kody Clemens,MIN,60,34,110,37,21,0,71,3
Chandler Simpson,TBR,119,57,142,29,23,1,44,37
Nasim Nuñez,WSN,63,34,84,19,26,0,74,20
Brooks Baldwin,CHW,82,43,136,40,24,1,92,7
Victor Robles,SEA,72,43,106,26,22,0,78,18
Gary Sánchez,MIL,31,17,59,24,13,0,46,0
Lane Thomas,KCR,81,50,138,42,31,0,96,17
Giancarlo Stanton,NYY,76,48,161,59,37,2,124,0
Jake Rogers,DET,35,19,60,21,16,0,56,1
Joe Mack,MIA,49,24,80,28,18,1,71,2
Edgar Quero,CHW,94,43,138,41,34,1,73,1
Mitch Garver,SEA,20,12,36,14,12,0,33,0
Adolis García,PHI,120,67,217,75,38,1,144,10
Amed Rosario,NYY,61,28,89,24,11,0,44,6
Spencer Horwitz,PIT,106,53,159,52,49,1,86,2
Vaughn Grissom,LAA,68,31,99,27,20,0,61,5
Bryce Eldridge,SFG,87,47,159,54,34,4,121,2
Luke Raley,SEA,54,33,97,31,21,0,85,6
Rob Refsnyder,SEA,49,28,81,26,24,1,61,3
James McCann,ARI,42,20,65,22,11,0,51,1
Taylor Walls,TBR,63,37,98,27,30,0,76,15
Will Benson,CIN,44,29,82,26,22,1,69,7
Tyler Heineman,TOR,27,14,40,11,10,0,31,2
Nick Fortes,TBR,61,28,92,28,16,0,56,2
Austin Hays,CHW,99,48,161,50,29,1,107,3
Christian Moore,LAA,84,45,138,41,36,1,137,7
Edouard Julien,COL,67,37,103,32,37,1,92,4
Jonny DeLuca,TBR,59,31,93,27,17,1,57,9
Matt Vierling,DET,54,28,85,26,19,0,53,3
Mickey Moniak,COL,113,62,205,67,28,1,119,10
Leo Jiménez,TOR,27,14,40,13,9,0,27,1
Jacob Young,WSN,68,33,85,16,19,0,58,17
Daniel Schneemann,CLE,38,22,64,19,18,0,52,4
Jonah Heim,ATL,27,13,44,14,9,0,27,1
Noelvi Marte,CIN,119,62,198,59,31,1,119,14
Gavin Sheets,SDP,102,52,165,54,39,1,93,2
Jett Williams,MIL,32,17,53,16,13,0,40,5
Rhys Hoskins,CLE,71,42,130,46,42,1,99,2
Coby Mayo,BAL,32,18,58,18,13,0,45,1
Travis Bazzana,CLE,41,22,66,20,21,0,60,3
Liam Hicks,MIA,67,30,91,27,31,0,50,1
Darell Hernaiz,ATH,43,20,59,16,12,0,28,4
