VORP Rank,Tier,Player Name,Position,Team,ML Points,VORP,ADP,Sleeper Score
147,3,Bo Bichette,SS,New York Mets,588.8615310062854,108.70293551461504,83.83,-63.17
148,3,Blake Snell,SP,Los Angeles Dodgers,485.42657730438543,108.1731918864437,109.5,-38.5
149,3,Yusei Kikuchi,SP,Los Angeles Angels,485.1409434438095,107.88755802586775,293.67,144.67000000000002
150,4,Riley Greene,OF,Detroit Tigers,559.323703200084,107.54411176780422,68.33,-81.67
151,3,Nolan Arenado,3B,Arizona Diamondbacks,537.1916348185289,107.52305672947955,309.17,158.17000000000002
152,4,Heliot Ramos,OF,San Francisco Giants,558.9356042306016,107.15601279832185,233.33,81.33000000000001
153,3,Andrew Abbott,SP,Cincinnati Reds,484.2856396755873,107.03225425764555,191.83,38.83000000000001
154,3,Alec Bohm,3B,Philadelphia Phillies,536.6221478381401,106.95356974909078,238.67,84.66999999999999
155,3,Jonathan India,2B,Kansas City Royals,518.12038583601,105.88687667937029,306.0,151.0
156,4,Tyler Soderstrom,OF,Athletics,557.0785833775809,105.29899194530117,87.67,-68.33
157,3,Mitch Keller,SP,Pittsburgh Pirates,481.4072618975312,104.15387647958948,300.83,143.82999999999998
158,3,Andres Gimenez,2B,Toronto Blue Jays,515.7241858623765,103.49067670573686,314.17,156.17000000000002
159,2,Jhoan Duran,RP,Philadelphia Phillies,546.9984079270934,102.24762560821875,66.33,-92.67
160,2,Alejandro Kirk,C,Toronto Blue Jays,535.9552123040296,102.1483624240276,184.33,24.330000000000013
161,3,Shane Smith,SP,Chicago White Sox,478.9660161047186,101.71263068677689,280.17,119.17000000000002
162,3,Eugenio Suarez,3B,Cincinnati Reds,531.2859341567012,101.61735606765183,83.33,-78.67
163,2,Salvador Perez,C,Kansas City Royals,534.8017891276326,100.99493924763055,99.67,-63.33
164,2,Andres Munoz,RP,Seattle Mariners,544.3015780164216,99.55079569754696,60.67,-103.33
165,3,Emmet Sheehan,SP,Los Angeles Dodgers,476.57624119434223,99.3228557764005,139.17,-25.830000000000013
166,3,Tyler Glasnow,SP,Los Angeles Dodgers,475.75692427070965,98.50353885276792,110.83,-55.17
167,3,Ernie Clement,3B,Toronto Blue Jays,528.0984650528089,98.4298869637596,247.33,80.33000000000001
168,4,Andy Pages,OF,Los Angeles Dodgers,550.0031063525557,98.22351492027599,136.17,-31.830000000000013
169,3,Merrill Kelly,SP,Arizona Diamondbacks,475.23032502049807,97.97693960255634,245.17,76.16999999999999
170,4,Ivan Herrera,DH,St. Louis Cardinals,548.585836439098,97.19884885041125,201.33,31.330000000000013
171,3,Shane Baz,SP,Baltimore Orioles,474.43232929638623,97.1789438784445,226.5,55.5
172,4,Brenton Doyle,OF,Colorado Rockies,548.2148514799303,96.43526004765056,203.17,31.169999999999987
173,3,Jack Leiter,SP,Texas Rangers,473.65495697719024,96.40157155924851,266.83,93.82999999999998
174,3,Matt McLain,2B,Cincinnati Reds,507.1492175055948,94.91570834895509,214.17,40.16999999999999
175,2,Hunter Goodman,C,Colorado Rockies,527.4791486651559,93.67229878515388,81.5,-93.5
176,3,Xander Bogaerts,SS,San Diego Padres,573.404516472913,93.24592098124259,263.67,87.67000000000002
177,3,Otto Lopez,SS,Miami Marlins,572.6980056972791,92.5394102056087,258.17,81.17000000000002
178,3,Jackson Holliday,2B,Baltimore Orioles,504.43572753163073,92.20221837499105,184.17,6.1699999999999875
179,3,Jacob Wilson,SS,Athletics,572.2058173432488,92.0472218515784,160.0,-19.0
180,4,Teoscar Hernandez,OF,Los Angeles Dodgers,543.5590281001064,91.77943666782664,115.33,-64.67
181,4,Byron Buxton,OF,Minnesota Twins,542.6087485433421,90.82915711106239,78.5,-102.5
182,4,Jake Burger,1B,Texas Rangers,485.9190795307868,90.81741207435255,281.5,99.5
183,4,Chris Bassitt,SP,Baltimore Orioles,467.93466312071035,90.68127770276863,307.83,124.82999999999998
184,4,Brady Singer,SP,Cincinnati Reds,467.7295295457242,90.47614412778245,284.33,100.32999999999998
185,4,Sal Frelick,OF,Milwaukee Brewers,542.1833506249444,90.40375919266467,219.83,34.83000000000001
186,4,Bailey Ober,SP,Minnesota Twins,467.5790119101713,90.32562649222956,282.8,96.80000000000001
187,2,Bryan Abreu,RP,Houston Astros,534.8963325916227,90.1455502727481,241.5,54.5
188,3,Dansby Swanson,SS,Chicago Cubs,570.1940626314725,90.03546713980217,156.17,-31.830000000000013
189,4,Lawrence Butler,OF,Athletics,540.5185319872594,88.73894055497965,147.5,-41.5
190,4,David Peterson,SP,New York Mets,465.97079653357,88.7174111156283,309.83,119.82999999999998
191,4,Spencer Horwitz,1B,Pittsburgh Pirates,483.38062454149065,88.27895708505639,364.33,173.32999999999998
192,2,Devin Williams,RP,New York Mets,532.1659531326743,87.4151708137997,98.33,-93.67
193,4,Chandler Simpson,OF,Tampa Bay Rays,539.1157975795547,87.33620614727499,179.0,-14.0
194,4,Josh Bell,DH,Minnesota Twins,538.5389323829373,87.1519447942506,368.0,174.0
195,4,Carlos Rodon,SP,New York Yankees,464.1267196905077,86.87333427256596,194.17,-0.8300000000000125
196,4,Jacob Misiorowski,SP,Milwaukee Brewers,462.4159558093657,85.16257039142397,115.67,-80.33
197,2,Abner Uribe,RP,Milwaukee Brewers,529.8392079174596,85.08842559858499,228.5,31.5
198,3,Brandon Lowe,2B,Pittsburgh Pirates,497.1036788297913,84.87016967315162,165.67,-32.33000000000001
199,4,Kris Bubic,SP,Kansas City Royals,460.6747304793495,83.42134506140775,209.0,10.0
200,3,Carlos Correa,3B,Houston Astros,512.9226810680885,83.2541029790392,246.0,46.0
201,4,Trey Yesavage,SP,Toronto Blue Jays,460.02682454681747,82.77343912887574,134.67,-66.33000000000001
202,4,Daylen Lile,OF,Washington Nationals,534.2596177487552,82.48002631647546,232.0,30.0
203,4,TJ Friedl,OF,Cincinnati Reds,531.6272391432477,79.84764771096798,263.17,60.170000000000016
204,4,Brandon Pfaadt,SP,Arizona Diamondbacks,457.0047477351578,79.75136231721609,341.67,137.67000000000002
205,4,Dylan Crews,OF,Washington Nationals,530.9555215140477,79.175930081768,212.33,7.3300000000000125
206,4,Trent Grisham,OF,New York Yankees,530.9477264974994,79.16813506521964,243.17,37.16999999999999
207,4,Jo Adell,OF,Los Angeles Angels,530.9457902639977,79.1661988317179,129.67,-77.33000000000001
208,4,Lars Nootbaar,OF,St. Louis Cardinals,529.2558913098119,77.47629987753214,376.25,168.25
209,4,Ceddanne Rafaela,OF,Boston Red Sox,527.9144595687254,76.13486813644568,148.17,-60.83000000000001
210,3,Drake Baldwin,C,Atlanta Braves,508.2172661336828,74.41041625368081,109.5,-100.5
211,4,Edward Cabrera,SP,Chicago Cubs,451.42559109279443,74.1722056748527,207.67,-3.3300000000000125
