Player Name,Position,Team,Hits (H),Runs Scored (R),Total Bases (TB),Runs Batted In (RBI),Walks (BB),Intentional Walks (IBB),Strikeouts (K),Stolen Bases (SB),ADP
Kerry Carpenter,OF,Detroit Tigers,109,61,203,68,31,1,114,3,242.17
Gavin Lux,DH,Tampa Bay Rays,100,49,148,43,44,0,95,4,737.5
Xavier Edwards,2B,Miami Marlins,142,65,179,41,45,2,80,28,170.0
Ha-Seong Kim,SS,Atlanta Braves,76,46,120,33,34,1,63,13,386.67
Steven Kwan,OF,Cleveland Guardians,152,71,196,51,57,1,55,17,136.17
Kyle Stowers,OF,Miami Marlins,121,67,222,78,54,2,166,4,125.83
Colt Keith,DH,Detroit Tigers,111,59,184,54,43,2,102,4,279.33
Anthony Volpe,SS,New York Yankees,94,54,158,44,31,0,109,16,330.33
Spencer Torkelson,1B,Detroit Tigers,124,73,235,81,64,3,159,2,172.0
Victor Caratini,C,Minnesota Twins,77,37,119,39,27,1,64,1,430.5
Tommy Edman,2B,Los Angeles Dodgers,99,55,154,46,29,1,75,10,307.6
Eugenio Suarez,3B,Cincinnati Reds,123,73,248,92,50,1,176,2,83.33
Alec Burleson,1B,St. Louis Cardinals,138,66,226,74,39,1,84,5,171.5
Tyler O'Neill,OF,Baltimore Orioles,76,49,149,51,37,1,104,4,362.5
Dylan Crews,OF,Washington Nationals,121,66,199,59,37,1,129,23,212.33
Royce Lewis,3B,Minnesota Twins,106,56,183,57,34,1,104,10,223.83
Sal Stewart,1B,Cincinnati Reds,117,58,198,62,34,1,87,6,219.5
Ernie Clement,3B,Toronto Blue Jays,131,60,192,54,23,1,60,11,247.33
Matt Wallner,OF,Minnesota Twins,91,61,179,63,49,1,152,4,305.0
Willi Castro,SS,Colorado Rockies,119,65,183,53,40,1,114,16,303.33
Andrew Vaughn,1B,Milwaukee Brewers,125,59,217,79,36,0,105,1,293.17
Chase Meidroth,SS,Chicago White Sox,117,56,156,39,49,0,79,10,351.0
Josh Smith,SS,Texas Rangers,105,57,156,44,47,1,96,9,333.17
Jung Hoo Lee,OF,San Francisco Giants,139,67,205,56,42,1,64,8,270.17
Jesus Sanchez,OF,Toronto Blue Jays,92,53,161,50,35,1,99,8,352.67
Hunter Feduccia,C,Tampa Bay Rays,48,23,72,24,24,0,66,0,708.5
Ryan O'Hearn,1B,Pittsburgh Pirates,119,59,185,58,48,3,97,4,264.0
Caleb Durbin,3B,Boston Red Sox,118,60,173,48,32,1,57,19,231.17
Denzel Clarke,OF,Athletics,77,43,122,32,25,0,129,11,443.0
Ramon Laureano,OF,San Diego Padres,114,67,197,63,37,1,137,9,255.5
JJ Wetherholt,2B,St. Louis Cardinals,104,51,153,45,40,1,91,8,223.33
Dylan Beavers,OF,Baltimore Orioles,85,49,137,41,40,1,95,11,299.5
Christian Walker,1B,Houston Astros,117,68,220,77,47,1,145,4,182.5
Luis Arraez,1B,San Francisco Giants,166,65,196,52,33,3,21,8,229.0
Justin Crawford,OF,Philadelphia Phillies,100,50,137,34,25,1,84,21,288.5
Pedro Pages,C,St. Louis Cardinals,66,29,102,34,20,1,89,1,728.5
Sal Frelick,OF,Milwaukee Brewers,124,60,173,47,43,1,75,17,219.83
Parker Meadows,OF,Detroit Tigers,93,57,154,41,42,1,121,13,396.0
Cam Smith,OF,Houston Astros,97,51,149,44,38,1,118,7,346.5
Carter Jensen,C,Kansas City Royals,81,45,137,44,36,1,101,5,248.17
Jordan Lawlar,3B,Arizona Diamondbacks,67,37,103,30,22,1,85,11,332.8
Josh Bell,DH,Minnesota Twins,119,64,203,68,54,1,104,2,368.0
Jake Burger,1B,Texas Rangers,118,63,221,75,29,1,133,2,281.5
Brandon Marsh,OF,Philadelphia Phillies,102,56,160,47,45,1,131,10,361.0
Addison Barger,3B,Toronto Blue Jays,101,56,177,58,36,2,116,4,195.5
Freddy Fermin,C,San Diego Padres,91,43,135,39,26,1,89,3,431.33
Jorge Polanco,DH,New York Mets,109,60,194,63,46,1,104,6,200.67
Marcelo Mayer,2B,Boston Red Sox,93,45,145,46,30,2,99,7,323.5
Kyle Manzardo,DH,Cleveland Guardians,107,59,200,72,49,2,122,1,261.33
Jose Caballero,OF,New York Yankees,68,49,108,25,31,0,94,33,213.17
Davis Schneider,2B,Toronto Blue Jays,60,40,115,40,37,0,95,3,792.0
Harry Ford,C,Washington Nationals,58,30,90,29,27,0,67,6,417.0
Connor Norby,3B,Miami Marlins,101,50,164,50,31,1,124,8,373.67
Romy Gonzalez,1B,Boston Red Sox,67,35,108,33,16,0,68,8,458.5
Cole Young,2B,Seattle Mariners,78,40,120,36,32,1,63,6,686.67
Jordan Walker,OF,St. Louis Cardinals,108,58,187,60,35,1,138,8,370.5
Colt Emerson,SS,Seattle Mariners,62,30,91,29,22,1,59,5,414.0
Garrett Mitchell,OF,Milwaukee Brewers,72,41,115,32,33,1,115,13,758.0
Chase DeLauter,OF,Cleveland Guardians,96,45,151,48,33,1,84,4,301.5
Mike Yastrzemski,OF,Atlanta Braves,89,53,159,53,48,2,103,4,372.67
Jorge Soler,OF,Los Angeles Angels,93,55,178,63,50,0,127,1,381.0
Carson Williams,SS,Tampa Bay Rays,74,42,130,41,27,1,130,9,449.5
Zach McKinstry,3B,Detroit Tigers,90,52,140,37,36,1,95,16,299.8
