Player Name,Position,Team,Innings Pitched (IP),Hits Allowed (H),Earned Runs (ER),Walks Issued (BB),Strikeouts (K),Saves (SV),Blown Saves (BS),Holds (HD),ADP
Justin Verlander,SP,Detroit Tigers,127.2,124,63,41,107,0,0,0,442.67
Simeon Woods Richardson,SP,Minnesota Twins,132.0,126,67,50,119,0,0,0,373.5
Seth Lugo,SP,Kansas City Royals,153.2,151,75,50,130,0,0,0,309.2
Luis Severino,SP,Athletics,167.0,168,86,53,134,0,0,0,396.67
Parker Messick,SP,Cleveland Guardians,116.0,111,52,38,105,0,0,0,310.6
Logan Henderson,SP,Milwaukee Brewers,100.1,89,45,30,101,0,0,0,289.83
Kyle Freeland,SP,Colorado Rockies,158.1,181,90,42,116,0,0,0,724.5
Mason Miller,RP,San Diego Padres,64.0,39,18,24,98,33,4,2,47.67
Zack Littell,SP,Washington Nationals,138.1,142,69,29,105,0,0,0,408.5
Mike Burrows,SP,Houston Astros,126.0,114,58,44,122,0,0,0,322.17
Jacob Lopez,SP,Athletics,125.1,110,60,50,128,0,0,0,359.75
Nick Martinez,SP,Tampa Bay Rays,142.0,142,70,38,110,0,1,1,527.75
Zach Eflin,SP,Baltimore Orioles,138.1,144,68,27,107,0,0,0,361.0
Max Meyer,SP,Miami Marlins,125.1,123,60,41,114,0,0,0,373.5
Cade Smith,RP,Cleveland Guardians,68.1,52,22,20,88,32,5,3,68.5
Ryan Weathers,SP,New York Yankees,122.2,111,54,41,118,0,0,0,284.33
Will Warren,SP,New York Yankees,123.0,116,59,44,123,0,0,0,321.0
Spencer Schwellenbach,SP,Atlanta Braves,65.2,59,26,14,64,0,0,0,228.17
Dean Kremer,SP,Baltimore Orioles,131.1,128,64,40,112,0,0,1,403.0
Justin Steele,SP,Chicago Cubs,72.1,66,29,19,68,0,0,0,342.83
Jared Jones,SP,Pittsburgh Pirates,82.0,74,36,27,85,0,0,0,369.67
Rhett Lowder,SP,Cincinnati Reds,104.1,104,51,33,83,0,0,1,614.0
Grant Taylor,RP,Chicago White Sox,80.1,67,31,31,96,6,2,14,374.0
Grant Holmes,SP,Atlanta Braves,121.2,114,57,46,121,0,1,1,493.5
Roki Sasaki,SP,Los Angeles Dodgers,106.0,96,49,43,101,0,0,1,246.17
Ian Seymour,SP,Tampa Bay Rays,98.1,89,44,30,96,0,0,1,305.4
Jhoan Duran,RP,Philadelphia Phillies,66.2,54,21,20,77,33,4,2,66.33
Cristian Javier,SP,Houston Astros,137.2,125,72,58,124,0,0,0,345.33
Griffin Jax,RP,Tampa Bay Rays,63.0,50,22,17,80,18,6,12,225.67
Slade Cecconi,SP,Cleveland Guardians,149.1,149,76,38,123,0,0,0,385.5
Jose Berrios,SP,Toronto Blue Jays,118.1,114,57,36,100,0,0,1,365.25
Robby Snelling,SP,Miami Marlins,78.1,77,36,28,68,0,0,0,342.25
Edwin Diaz,RP,Los Angeles Dodgers,65.0,47,22,22,89,36,5,2,50.5
Bryan Abreu,RP,Houston Astros,67.1,51,23,28,90,11,4,20,241.5
Johan Oviedo,SP,Boston Red Sox,94.2,84,45,41,90,0,0,1,410.33
Aroldis Chapman,RP,Boston Red Sox,55.2,40,19,24,77,28,4,2,89.33
Lucas Giolito,SP,Free Agent,112.1,109,57,44,101,0,0,0,338.67
Devin Williams,RP,New York Mets,64.2,47,23,27,84,31,4,3,98.33
Jeremiah Estrada,RP,San Diego Padres,66.2,51,25,26,88,3,2,22,323.2
Connelly Early,SP,Boston Red Sox,47.2,42,20,18,49,0,0,1,279.33
Abner Uribe,RP,Milwaukee Brewers,66.2,52,24,29,78,17,3,16,228.5
Bryce Elder,SP,Atlanta Braves,115.2,120,60,40,95,0,0,1,864.0
Luis Morales,SP,Athletics,113.0,106,57,45,100,0,0,0,411.67
Garrett Whitlock,RP,Boston Red Sox,64.0,56,24,18,71,5,2,19,347.33
Max Scherzer,SP,Toronto Blue Jays,79.1,76,40,21,77,0,0,0,646.0
Andres Munoz,RP,Seattle Mariners,62.2,46,20,25,78,34,5,2,60.67
Brandon Sproat,SP,Milwaukee Brewers,74.0,69,35,28,63,0,0,1,653.0
David Bednar,RP,New York Yankees,60.2,49,23,20,72,32,4,2,92.67
Andrew Painter,SP,Philadelphia Phillies,98.1,98,51,36,83,0,0,1,304.83
Will Vest,RP,Detroit Tigers,64.2,57,24,20,66,8,4,15,301.33
Adrian Morejon,RP,San Diego Padres,65.0,57,25,20,65,3,2,16,353.4
Luis Gil,SP,New York Yankees,97.1,82,46,47,97,0,0,0,301.83
Sean Burke,SP,Chicago White Sox,142.2,137,76,62,134,0,0,0,735.0
Matt Strahm,RP,Kansas City Royals,63.0,53,25,19,68,3,3,19,535.8
Joe Boyle,SP,Tampa Bay Rays,75.0,61,35,40,82,0,0,1,441.5
Mick Abel,SP,Minnesota Twins,114.2,110,60,52,103,0,3,0,419.5
Matt Brash,RP,Seattle Mariners,60.2,50,21,24,72,4,2,19,558.0
Jose Alvarado,RP,Philadelphia Phillies,57.0,49,22,21,64,4,3,13,824.5
Trevor Megill,RP,Milwaukee Brewers,62.2,51,24,22,75,19,6,8,153.0
Ben Brown,SP,Chicago Cubs,53.2,47,22,17,60,0,0,1,758.5
Pete Fairbanks,RP,Miami Marlins,60.0,52,24,21,62,26,5,3,159.5
Jose A. Ferrer,RP,Seattle Mariners,65.1,59,25,18,61,3,4,19,653.5
Ryan Walker,RP,San Francisco Giants,61.2,56,24,19,64,23,4,5,214.5
Gabe Speier,RP,Seattle Mariners,58.0,46,22,16,69,1,3,19,658.0
Josh Hader,RP,Houston Astros,49.1,35,18,18,66,24,3,2,118.83
Robert Suarez,RP,Atlanta Braves,66.0,57,26,20,69,11,5,14,213.67
Garrett Cleavinger,RP,Tampa Bay Rays,61.2,48,23,22,75,7,4,20,404.25
Jeff Hoffman,RP,Toronto Blue Jays,62.0,50,25,22,74,26,4,3,145.83
Ryan Helsley,RP,Baltimore Orioles,62.2,53,25,23,70,29,7,1,136.17
Alex Vesia,RP,Los Angeles Dodgers,60.2,47,24,25,75,2,3,22,534.25
Tanner Scott,RP,Los Angeles Dodgers,63.1,53,25,26,71,5,6,19,368.4
Fernando Cruz,RP,New York Yankees,58.0,45,23,26,78,2,2,18,810.5
Louis Varland,RP,Toronto Blue Jays,65.0,60,27,19,65,4,1,15,766.0
Daniel Palencia,RP,Chicago Cubs,64.1,54,27,26,71,29,4,3,158.33
Colin Rea,SP,Chicago Cubs,82.0,82,40,23,66,0,0,1,798.5
Spencer Arrighetti,SP,Houston Astros,92.0,84,47,40,91,0,0,1,365.0
Bryan King,RP,Houston Astros,63.1,57,25,18,63,1,2,20,661.5
Raisel Iglesias,RP,Atlanta Braves,63.1,56,26,17,67,26,4,4,121.5
Troy Melton,SP,Detroit Tigers,59.1,55,26,19,53,0,0,3,323.0
Lucas Erceg,RP,Kansas City Royals,61.1,55,25,22,59,6,4,18,653.5
Jonah Tong,SP,New York Mets,31.2,26,13,13,35,0,0,1,375.0
Payton Tolle,SP,Boston Red Sox,49.2,45,23,17,50,0,0,1,403.5
Camilo Doval,RP,New York Yankees,62.0,52,25,30,69,5,5,16,409.33
Corbin Burnes,SP,Arizona Diamondbacks,35.0,31,14,11,34,0,0,0,463.0
Edwin Uceta,RP,Tampa Bay Rays,62.0,51,25,23,74,9,2,15,322.0
Robert Garcia,RP,Texas Rangers,60.2,53,25,22,65,18,5,9,296.33
Matt Svanson,RP,St. Louis Cardinals,64.0,59,26,23,60,6,1,12,378.0
Gregory Soto,RP,Pittsburgh Pirates,59.2,54,25,24,64,4,2,17,836.0
Tyler Holton,RP,Detroit Tigers,68.2,62,27,17,57,1,2,15,571.5
Emilio Pagan,RP,Cincinnati Reds,65.0,56,29,22,71,26,5,4,155.17
Kevin Ginkel,RP,Arizona Diamondbacks,60.1,55,26,21,62,16,4,11,482.25
Tyler Rogers,RP,Toronto Blue Jays,67.1,68,28,13,46,3,3,23,564.33
Jason Adam,RP,San Diego Padres,52.0,43,20,18,56,1,3,21,601.33
Tyler Wells,SP,Baltimore Orioles,69.0,64,33,17,63,0,0,5,626.0
JoJo Romero,RP,St. Louis Cardinals,61.2,56,24,24,58,12,3,19,379.2
Shawn Armstrong,RP,Cleveland Guardians,66.2,60,28,20,66,3,2,16,783.0
Bennett Sousa,RP,Houston Astros,50.2,43,20,17,55,1,1,9,557.5
Brooks Raley,RP,New York Mets,55.2,49,23,18,54,2,2,16,592.5
Hurston Waldrep,SP,Atlanta Braves,52.2,50,26,24,46,0,0,0,327.4
Jack Dreyer,SP,Los Angeles Dodgers,49.2,44,21,17,48,1,2,11,680.0
Dennis Santana,RP,Pittsburgh Pirates,65.0,60,28,22,60,24,3,5,203.5
Kyle Finnegan,RP,Detroit Tigers,61.2,57,27,21,58,6,5,14,334.75
Andrew Kittredge,RP,Baltimore Orioles,56.1,52,23,15,56,5,3,17,659.0
Brad Keller,RP,Philadelphia Phillies,65.1,60,28,24,60,4,2,17,595.67
Luke Weaver,RP,New York Mets,67.1,59,29,21,72,5,3,19,355.83
Taylor Rogers,RP,Minnesota Twins,57.1,52,26,24,59,14,2,7,379.25
JP Sears,SP,San Diego Padres,57.2,55,29,16,50,0,0,1,827.0
Hoby Milner,RP,Chicago Cubs,61.1,60,27,18,52,0,2,13,487.5
Riley O'Brien,RP,St. Louis Cardinals,62.2,56,26,28,63,15,5,13,326.67
Kenley Jansen,RP,Detroit Tigers,56.2,48,25,20,57,22,3,2,169.83
Tony Santillan,RP,Cincinnati Reds,66.1,59,30,29,69,5,3,19,400.0
Thomas White,SP,Miami Marlins,29.2,26,14,16,30,0,0,0,407.33
Eric Lauer,SP,Toronto Blue Jays,57.2,54,27,19,55,0,0,2,598.0
Ben Joyce,RP,Los Angeles Angels,43.0,36,18,19,47,9,5,9,755.5
Robert Stephenson,RP,Los Angeles Angels,53.1,46,24,17,58,10,3,10,392.0
Seranthony Dominguez,RP,Chicago White Sox,59.1,49,26,28,64,21,5,6,278.67
Jordan Leasure,RP,Chicago White Sox,61.2,52,28,26,69,7,5,14,360.0
Carlos Estevez,RP,Kansas City Royals,63.2,58,29,22,57,29,5,2,122.83
Victor Vodnik,RP,Colorado Rockies,63.0,62,31,31,60,17,4,7,406.0
Hunter Gaddis,RP,Cleveland Guardians,65.2,58,28,20,64,5,3,24,640.33
Clayton Beeter,RP,Washington Nationals,61.1,51,27,32,69,15,4,11,363.25
Kirby Yates,RP,Los Angeles Angels,54.2,45,24,25,65,9,2,10,334.4
Felix Bautista,RP,Baltimore Orioles,10.0,7,4,5,14,0,0,1,667.5
Evan Phillips,RP,Los Angeles Dodgers,19.1,17,7,6,21,1,1,3,596.0
Justin Sterner,RP,Athletics,64.2,59,30,23,65,10,4,12,343.0
Cionel Perez,RP,Washington Nationals,56.2,55,27,29,49,2,2,13,537.0
Jose Leclerc,RP,Free Agent,35.1,31,16,16,37,0,4,1,471.5
Mitch Spence,SP,Kansas City Royals,26.1,27,13,8,21,0,0,2,485.5
Chad Green,RP,Free Agent,39.1,39,20,13,34,1,1,1,499.5
Bobby Miller,SP,Los Angeles Dodgers,21.0,20,11,10,20,0,0,1,738.5
Alexis Diaz,RP,Texas Rangers,49.2,43,26,25,49,3,2,3,763.5
Hunter Strickland,RP,Los Angeles Angels,18.0,18,10,8,14,0,1,1,425.0
