Player Name,Team,Position,ADP
Edmundo Sosa,PHI,"2B,3B,SS",849.5
Jonah Heim,ATL,"C,DH",794
Sung-Mun Song,SD,"2B,3B",745
Jeremiah Jackson,BAL,"3B,RF",836
Richie Palacios,TB,"IF,LF",775.5
MJ Melendez,NYM,LF,660.5
Zack Gelof,ATH,2B,792.5
Cole Young,SEA,2B,686.67
Nick Sogard,BOS,"1B,2B",578
Cooper Ingle,CLE,C,802.5
Abraham Toro,KC,"1B,2B,3B",522.5
Leo De Vries,ATH,SS,783
Nathan Lukes,TOR,"LF,CF,RF",808
Jose Siri,LAA,CF,625.5
Max Schuemann,NYY,"2B,3B,SS,OF",670
Ezequiel Duran,TEX,"1B,2B,3B,SS,LF",813.5
Jhonkensy Noel,BAL,"1B,RF",622
Johan Rojas,PHI,CF,602
Nolan Jones,CLE,"LF,CF,RF",824
Christopher Morel,MIA,LF,822
Tyler Heineman,TOR,C,711
Luis Torrens,NYM,C,847
Nathaniel Lowe,CIN,1B,799
Kris Bryant,COL,DH,521
Orlando Arcia,MIN,"1B,2B,3B,SS",681
Nelson Rada,LAA,CF,837
Isiah Kiner-Falefa,BOS,"2B,3B,SS",868.5
Eli White,ATL,"LF,CF,RF",702
Ramon Urias,STL,"2B,3B",811.5
Jerar Encarnacion,SF,RF,793.5
Kyle Isbel,KC,CF,810.5
Matt Vierling,DET,"LF,CF",836.5
Joey Bart,PIT,C,727.5
Alfredo Duno,CIN,C,559
Garrett Mitchell,MIL,"CF,RF",758
Hunter Feduccia,TB,C,708.5
